iter	Passed	Remaining
0	51	25755
1	56	14148
2	61	10143
3	66	8229
4	71	7043
5	76	6263
6	80	5681
7	85	5238
8	89	4899
9	94	4645
10	99	4424
11	105	4303
12	110	4139
13	115	4006
14	119	3871
15	124	3760
16	128	3657
17	133	3562
18	137	3476
19	141	3402
20	146	3337
21	150	3276
22	155	3224
23	160	3175
24	164	3125
25	168	3076
26	173	3039
27	177	2997
28	182	2957
29	187	2932
30	191	2902
31	196	2875
32	201	2849
33	205	2819
34	210	2791
35	214	2760
36	218	2732
37	223	2718
38	228	2702
39	233	2681
40	238	2664
41	242	2646
42	247	2627
43	251	2604
44	255	2580
45	259	2565
46	264	2549
47	269	2536
48	273	2520
49	278	2510
50	282	2490
51	287	2478
52	292	2468
53	296	2451
54	300	2433
55	305	2421
56	309	2409
57	314	2393
58	318	2383
59	323	2371
60	327	2359
61	331	2345
62	336	2331
63	341	2326
64	346	2316
65	350	2303
66	354	2290
67	358	2278
68	362	2266
69	367	2254
70	371	2245
71	375	2233
72	379	2221
73	384	2215
74	389	2205
75	393	2194
76	397	2186
77	403	2180
78	407	2172
79	412	2163
80	416	2152
81	420	2142
82	424	2134
83	428	2123
84	432	2113
85	437	2106
86	441	2097
87	446	2088
88	449	2077
89	454	2068
90	458	2059
91	462	2050
92	466	2040
93	471	2034
94	475	2026
95	478	2015
96	482	2006
97	487	1999
98	492	1994
99	496	1987
100	501	1981
101	505	1973
102	509	1965
103	514	1958
104	519	1952
105	523	1947
106	527	1939
107	532	1933
108	537	1926
109	541	1918
110	545	1911
111	549	1904
112	553	1895
113	557	1887
114	561	1878
115	565	1870
116	568	1862
117	572	1854
118	577	1847
119	581	1841
120	585	1833
121	589	1826
122	593	1820
123	598	1814
124	602	1808
125	606	1800
126	610	1793
127	614	1786
128	619	1780
129	622	1772
130	626	1765
131	630	1757
132	634	1750
133	638	1743
134	642	1737
135	647	1731
136	651	1726
137	655	1719
138	659	1712
139	663	1705
140	667	1699
141	671	1693
142	675	1687
143	680	1681
144	684	1674
145	688	1668
146	691	1661
147	695	1654
148	699	1647
149	703	1641
150	707	1635
151	711	1629
152	715	1622
153	719	1617
154	723	1609
155	727	1603
156	730	1596
157	734	1588
158	738	1584
159	742	1578
160	746	1572
161	750	1565
162	753	1558
163	757	1552
164	761	1545
165	763	1535
166	766	1528
167	770	1522
168	773	1515
169	778	1510
170	781	1504
171	786	1499
172	790	1493
173	794	1487
174	798	1482
175	802	1477
176	806	1471
177	811	1467
178	815	1462
179	819	1456
180	822	1450
181	826	1444
182	831	1439
183	834	1433
184	838	1428
185	842	1422
186	846	1416
187	850	1410
188	853	1404
189	857	1398
190	861	1393
191	865	1388
192	869	1382
193	873	1377
194	877	1371
195	881	1367
196	885	1362
197	890	1358
198	894	1353
199	898	1347
200	902	1341
201	906	1337
202	910	1332
203	914	1327
204	919	1323
205	923	1318
206	927	1313
207	932	1308
208	935	1303
209	939	1297
210	944	1293
211	947	1287
212	951	1282
213	955	1277
214	959	1271
215	963	1266
216	967	1261
217	971	1256
218	975	1251
219	978	1245
220	983	1241
221	987	1236
222	991	1231
223	994	1225
224	998	1220
225	1002	1214
